# Source: Pittsburgh Neighborhood and Community Information System at the University Center for Social and Urban Research
# http://www.ucsur.pitt.edu/thepub.php?pl=370
# http://surveyweb1.ucsur.pitt.edu/files/thepub/000089/Sales1011.zip
#
# Transformations:
# (1) removed non-Mt. Lebanon properties
# (2) removed columns that didn't contain quantitative or categorical info
#     (e.g., personally identifying information)
"MAPBLOLOT","PROPERTYZIP","SALEDATE","SALEPRICE","MUNICODE","X","Y","YEARBUILT","TOTALROOMS","BEDROOMS","FULLBATHS","HALFBATHS","STYLE_DESC","STORIES","FINISHEDLI"
"0192D00271000000",15228,"06-Jan-11",121750,926,1332339.37537561,387530.458746791,1939,6,3,1,1,"OLD STYLE",2,1334
"0192D00298000000",15228,"04-Oct-11",72500,926,1332511.87537932,387538.79776825,1946,6,3,1,0,"ROW END",2,1062
"0192D00315000000",15228,"08-Dec-11",1,926,1332403.68793085,387289.871829301,1947,6,3,1,0,"ROW END",2,1062
"0192D00317000000",15228,"08-Dec-11",1,926,1332392.12533978,387264.16550301,1947,6,3,1,0,"ROW END",2,1062
"0192E00006000000",15228,"20-Jan-11",285000,926,1328737.06287415,386880.063459635,1927,5,2,1,0,"OLD STYLE",2,2587
"0192E00123000000",15228,"07-Dec-11",1,926,1328752.50038147,386236.51919125,1932,8,3,1,2,"OLD STYLE",2,2916
"0192E00150000000",15228,"18-Oct-11",385000,926,1328572.06290853,386148.255173534,1927,8,4,2,1,"OLD STYLE",2,2468
"0192F00120000000",15228,"18-Nov-11",228865,926,1329672.06290556,386293.935248882,1922,7,3,1,1,"OLD STYLE",2,1608
"0192F00126000000",15228,"08-Jul-11",520000,926,1329764.06288168,386183.379505113,1925,9,4,2,1,"OLD STYLE",2,2767
"0192F00191000000",15228,"01-Apr-11",477456,926,1329110.50036447,386636.404051647,1926,11,6,3,1,"OLD STYLE",2,2368
"0192G00132000000",15228,"19-Oct-11",390000,926,1330974.56286481,386069.722567752,1937,8,4,2,1,"COLONIAL",2,2347
"0192H00079000000",15228,"02-Jun-11",380750,926,1331464.56280088,386163.03532207,1935,8,4,2,1,"OLD STYLE",2,2046
"0192H00122000000",15228,"01-Aug-11",371350,926,1331988.00037456,386107.327873632,1930,7,3,2,1,"TUDOR",2,3107
"0192H00143000000",15228,"01-Aug-11",371350,926,1332050.06284079,386242.660584405,NA,NA,NA,NA,NA,"",NA,NA
"0192J00173000000",15228,"01-Aug-11",400000,926,1329030.0629794,385174.048669636,1987,11,4,3,1,"CAPE COD",1.5,3656
"0192J00216000000",15228,"10-Jun-11",355000,926,1328157.7502881,385428.645213008,1940,7,3,2,0,"RANCH",1,1999
"0192K00070000000",15228,"04-Oct-11",815000,926,1329985.43793333,385058.327825412,1989,9,4,3,1,"CONVENTIONAL",2,3896
"0192K00094000000",15228,"17-Mar-11",240000,926,1329618.94193465,385557.575972542,1961,7,4,2,1,"SPLIT LEVEL",1,1610
"0192K00109000000",15228,"08-Jul-11",332500,926,1329367.31286342,385925.649671122,1962,8,4,2,1,"RANCH",1,2064
"0192L00087000000",15228,"21-Oct-11",163000,926,1330344.68785805,385224.930218235,1949,6,3,1,1,"COLONIAL",2,1344
"0192L00091000000",15228,"09-Dec-11",87275,926,1330274.625377,385322.473477334,1949,7,3,1,1,"OLD STYLE",2,1840
"0192L00123000000",15228,"18-May-11",182000,926,1330726.68788539,385422.105661526,1930,7,3,1,1,"OLD STYLE",2,1568
"0192L00141000000",15228,"28-Jul-11",465000,926,1331083.50037529,385618.889152557,1930,7,3,2,1,"OLD STYLE",2,2899
"0192L00176000000",15228,"14-Nov-11",315000,926,1330408.8754191,385779.42064929,1928,7,3,2,1,"OLD STYLE",2,2116
"0192L00202000000",15228,"02-Sep-11",225000,926,1330244.25043601,385665.048268184,1929,7,3,1,1,"COLONIAL",2,1792
"0192L00212000000",15228,"19-May-11",187000,926,1330158.50036235,385049.85013701,1956,6,3,2,1,"COLONIAL",2,1972
"0192N00203000000",15228,"07-Sep-11",1,926,1328958.62536855,384564.154305846,1958,8,4,2,1,"COLONIAL",2,2117
"0192P00022000000",15228,"19-Oct-11",332500,926,1329888.93787615,384213.660760984,1928,9,3,2,2,"OLD STYLE",2,2434
"0192P00114000000",15228,"18-Oct-11",1,926,1329151.9380168,384736.396078795,1960,9,4,2,1,"COLONIAL",2,2688
"0192P00162000000",15228,"15-Mar-11",480000,926,1329302.12544595,384287.542788461,1988,9,4,3,1,"CONVENTIONAL",2,3862
"0192R00064000000",15234,"16-May-11",182500,926,1330198.81297019,384498.865166977,1955,7,3,2,0,"CAPE COD",1.5,1664
"0192R00088000000",15234,"28-Sep-11",166000,926,1330366.31281923,384367.688391149,1950,7,3,1,1,"CAPE COD",1.5,1571
