PIN,MAPBLOCKLO,PROPERTYHO,PROPERTY_1,PROPERTYZI,FAIRMARKET,FAIRMARK_1,TAXDESC,OWNERDESC,STATEDESC,USEDESC,LOTAREA
0141S00106000000,141-S-106,418,FRUITHURST DR,15228,15700,35300,Taxable,Regular,Residential,SINGLE FAMILY,4800
0141S00108000000,141-S-108,414,FRUITHURST DR,15228,74200,35300,Taxable,Regular,Residential,SINGLE FAMILY,4840
0141S00114000000,141-S-114,400,FRUITHURST DR,15228,91200,35900,Taxable,Regular,Residential,SINGLE FAMILY,6394
0141S00150000000,141-S-150,6 -7,CRAIG CT,15228,82400,25600,Taxable,Regular,Residential,TWO FAMILY,5466
0141S00178000000,141-S-178,326,PARKSIDE AVE,15228,120000,35700,Taxable,Regular,Residential,SINGLE FAMILY,5700
0141S00221000000,141-S-221,361,TAMPA AVE,15228,121300,31000,Taxable,Regular,Residential,SINGLE FAMILY,11141
0141S00244000000,141-S-244,334,TAMPA AVE,15228,98600,36400,Taxable,Regular,Residential,SINGLE FAMILY,7500
0141S00322000000,141-S-322,355,SUNSET DR,15228,105800,28200,Taxable,Regular,Residential,SINGLE FAMILY,6000
0252G00148000000,252-G-148,260,WOODHAVEN DR,15228,157700,83000,Taxable,Regular,Residential,SINGLE FAMILY,19096
0252G00059000000,252-G-59,275,INGLEWOOD DR,15228,265900,37300,Taxable,Regular,Residential,SINGLE FAMILY,11414
0252G00075000000,252-G-75,13,FOREST GLEN DR,15228,164800,90600,Taxable,Regular,Residential,SINGLE FAMILY,24694
0252G00138000000,252-G-138,12,FOREST GLEN DR,15228,410700,62300,Taxable,Regular,Residential,SINGLE FAMILY,11888
0252G00061000000,252-G-61,277,INGLEWOOD DR,15228,172900,36400,Taxable,Regular,Residential,SINGLE FAMILY,10334
0252G00163000000,252-G-163,240,WOODHAVEN DR,15228,172700,72200,Taxable,Regular,Residential,SINGLE FAMILY,11100
0252G00176000000,252-G-176,216,WOODHAVEN DR,15228,151400,76200,Taxable,Regular,Residential,SINGLE FAMILY,14012
0252G00195000000,252-G-195,195,WOODHAVEN DR,15228,95000,60600,Taxable,Regular,Residential,SINGLE FAMILY,10177
0252G00201000000,252-G-201,205,WOODHAVEN DR,15228,69000,60100,Taxable,Regular,Residential,SINGLE FAMILY,9468
0252G00214000000,252-G-214,241,WOODHAVEN DR,15228,78700,51300,Taxable,Regular,Residential,SINGLE FAMILY,7060
0252G00157000000,252-G-157,246,WOODHAVEN DR,15228,115600,72200,Taxable,Regular,Residential,SINGLE FAMILY,11101
