Parcel_ID|Municipality|Property_Address|School_District|Neighborhood_Code|Tax_Code|Recording_Date|Owner_Code|Sale_Price|State_Code|Deed_Book|Use_Code|Deed_Page|Homestead|Abatement|Farmstead|Lot_Area|Land_Value_2012_Mkt|Land_Value_2012_Cty|Building_Value_2012_Mkt|Building_Value_2012_Cty|Total_Value_2012_Mkt|Total_Value_2012_Cty
0063-J-00130-0000-00|926 MT. LEBANON|1786 THEODAN DR|Mt Lebanon|92612|Taxable|5/27/1997|Regular|165000|Residential|9951|SINGLE FAMILY|315|Yes|No|No|9,652 SQFT|51200|51200|222800|207800|274000|259000
0063-J-00132-0000-00|926 MT. LEBANON|1790 THEODAN DR|Mt Lebanon|92612|Taxable|6/10/1999|Regular|176000|Residential|10498|SINGLE FAMILY|404|Yes|No|No|9,652 SQFT|51200|51200|156100|141100|207300|192300
0063-J-00134-0000-00|926 MT. LEBANON|1794 THEODAN DR|Mt Lebanon|92612|Taxable|4/25/2000|Regular|210000|Residential|10746|SINGLE FAMILY|422|Yes|No|No|9,796 SQFT|51500|51500|172200|157200|223700|208700
0063-J-00136-0000-00|926 MT. LEBANON|1796 THEODAN DR|Mt Lebanon|92612|Taxable|3/16/1995|Regular|181000|Residential|9419|SINGLE FAMILY|96|Yes|No|No|10,294 SQFT|52200|52200|164800|149800|217000|202000
0063-J-00138-0000-00|926 MT. LEBANON|1770 HELEN DR|Mt Lebanon|92612|Taxable|11/3/2010|Regular|264000|Residential|14421|SINGLE FAMILY|68|No|No|No|10,967 SQFT|53300|53300|136700|136700|190000|190000
0063-J-00142-0000-00|926 MT. LEBANON|1783 THEODAN DR|Mt Lebanon|92612|Taxable|7/13/1972|Regular|47000|Residential||SINGLE FAMILY|0|Yes|No|No|9,850 SQFT|51500|51500|171800|156800|223300|208300
0063-J-00144-0000-00|926 MT. LEBANON|1779 THEODAN DR|Mt Lebanon|92612|Taxable|7/28/2010|Regular|97034|Residential|14337|SINGLE FAMILY|210|No|No|No|9,401 SQFT|50800|50800|116500|116500|167300|167300
0063-J-00146-0000-00|926 MT. LEBANON|1775 THEODAN DR|Mt Lebanon|92612|Taxable|4/29/2003|Regular|0|Residential|11632|SINGLE FAMILY|116|Yes|No|No|9,044 SQFT|50300|50300|120700|105700|171000|156000
0063-J-00148-0000-00|926 MT. LEBANON|1771 THEODAN DR|Mt Lebanon|92612|Taxable|9/29/2004|Regular|209900|Residential|12207|SINGLE FAMILY|380|Yes|Yes|No|8,865 SQFT|50000|50000|130000|115000|180000|165000
0063-J-00150-0000-00|926 MT. LEBANON|1767 THEODAN DR|Mt Lebanon|92612|Taxable|10/3/2006|Regular|208500|Residential|13014|SINGLE FAMILY|46|Yes|No|No|8,848 SQFT|42500|42500|124100|109100|166600|151600
0063-J-00152-0000-00|926 MT. LEBANON|1763 THEODAN DR|Mt Lebanon|92612|Taxable|11/5/2003|Regular|165000|Residential|11845|SINGLE FAMILY|6|No|No|No|8,174 SQFT|41600|41600|107700|107700|149300|149300
